Layer,Run_A_Harmful,Run_B_Safe,Run_C_IG,Mutual_A_and_C,Mutual_B_and_C
0,"2890, 2938, 4071, 4341, 4970, 7067, 7190, 7911, 8151, 8817, 10507, 10556, 10598, 11992, 12523, 12654, 12973, 13046, 13582, 14174, 14209, 14232, 14823, 14876, 15521, 16585, 16807, 16982, 17060, 17333, 17620","158, 916, 3054, 3798, 4659, 6334, 7259, 7575, 9238, 10445, 10927, 11250, 11374, 13146, 13174, 13468, 13480, 14120, 14845, 15568, 15585, 15760, 16195, 16339, 16709, 17142, 17419, 17535, 18440","137, 198, 258, 760, 827, 920, 922, 1075, 1163, 1238, 1242, 1258, 1362, 1396, 1451, 1519, 1912, 1941, 2244, 2273, 2511, 2521, 2540, 2751, 2789, 2841, 2978, 3193, 3207, 3473, 3529, 3747, 3793, 3863, 3990, 4041, 4448, 4696, 4723, 4739, 4961, 4993, 5121, 5176, 5183, 5192, 5272, 5274, 5345, 5357, 5676, 5692, 5781, 6005, 6012, 6158, 6346, 6372, 6677, 6842, 6865, 7103, 7236, 7298, 7341, 7410, 7958, 8016, 8059, 8061, 8086, 8151, 8451, 8655, 8676, 8726, 8732, 8900, 8924, 9302, 9576, 10094, 10175, 10370, 10378, 10521, 10566, 10828, 10838, 11080, 11250, 11317, 11420, 11572, 11852, 11986, 12046, 12356, 12399, 12422, 12439, 12460, 12655, 12680, 12828, 12968, 13066, 13168, 13509, 13636, 13669, 13849, 14250, 14279, 14300, 14452, 15027, 15176, 15373, 15684, 15895, 15914, 16129, 16251, 16274, 16427, 16481, 16508, 16558, 16662, 17199, 17308, 17309, 17333, 17484, 17554, 17618, 17693, 17732, 17804, 18074, 18216, 18265, 18659, 18815","8151, 17333","11250"
1,"522, 860, 1982, 2773, 3228, 3530, 3675, 4200, 4429, 5933, 6147, 6397, 7420, 8123, 8319, 9007, 9155, 9424, 9799, 10381, 10927, 11810, 12048, 12648, 12816, 15870, 16571, 17173, 17905","1122, 1352, 2571, 2662, 3114, 3162, 3277, 3363, 3608, 4352, 4565, 5546, 5916, 6872, 7079, 7588, 7774, 8004, 10446, 10959, 11340, 12079, 12476, 12857, 13356, 13412, 14487, 14557, 14884, 15423, 15953, 16325, 16607, 16636, 16794, 16813, 17492, 18080, 18381, 18730","796, 2106, 4423, 5163, 17094","None","None"
2,"529, 1158, 3218, 4090, 4227, 4789, 5338, 5374, 5796, 5905, 7921, 8608, 9297, 10606, 11929, 13881, 14031, 15610, 16236, 17091, 17948, 18477, 18712","616, 1074, 3000, 3124, 4607, 5880, 6096, 6873, 9757, 9841, 9886, 11054, 11237, 12248, 12326, 13402, 13892, 14390, 14852, 18698","11378, 13285","None","None"
3,"636, 2018, 2362, 3745, 4208, 5533, 6644, 6875, 7454, 7510, 7739, 7981, 8325, 8419, 8969, 9260, 9274, 9445, 10212, 10396, 10592, 11507, 11679, 12376, 12594, 13322, 13624, 13785, 14663, 15461, 17550, 18067","1067, 2000, 2456, 3538, 4554, 5095, 6136, 6489, 6896, 7914, 13899, 13932, 15444, 15996, 16326, 18657","1771, 3684, 5181, 5813, 6064, 7393, 12532, 12861, 12934, 14894, 16886, 17026, 18164, 18636","None","None"
4,"183, 2490, 6275, 7503, 11699, 11803, 12080, 12299, 12741, 14305, 16232, 17649, 18503","1561, 2824, 3233, 3826, 4275, 4940, 5011, 6537, 7857, 8276, 8944, 9382, 9918, 10289, 11248, 13464, 13721, 15592, 16037, 17163","708, 1297, 2160, 2532, 2802, 2840, 3561, 3564, 3848, 3942, 4550, 5388, 6506, 7135, 7334, 7474, 7800, 8120, 8454, 9308, 10073, 10816, 12344, 13064, 13128, 13448, 15543, 16358, 17483, 17629, 18524, 18636","None","None"
5,"711, 1491, 1717, 2407, 3544, 3746, 3801, 4888, 5387, 5910, 6513, 6960, 7076, 7767, 8355, 9659, 10524, 10943, 11222, 11301, 11442, 13382, 13981, 14255, 14879, 15207, 15864, 16158, 16856, 17244, 18172, 18554","1481, 2152, 2702, 2883, 4776, 4795, 4910, 5038, 6107, 6911, 7153, 10007, 10322, 10759, 10971, 12057, 12152, 12551, 12715, 12742, 13482, 14133, 14161, 14905, 15460, 16109, 16666, 16927, 17267, 17889, 18200, 18274, 18826","67, 1048, 1346, 1779, 2702, 2973, 4102, 4280, 6058, 6133, 6344, 6978, 7404, 8587, 9613, 11194, 11998, 12103, 12551, 13085, 13674, 13993, 14520, 15425, 16769","None","2702, 12551"
6,"501, 3670, 4477, 4868, 5782, 5861, 6345, 6770, 8066, 8427, 9904, 11074, 13247, 13652, 13841, 14486, 14612, 16552, 18095, 18563","1681, 2150, 4264, 5982, 5990, 8924, 9322, 9535, 10423, 11998, 12864, 12876, 13277, 13720, 14629, 15646, 18595","193, 473, 504, 630, 2241, 2487, 2613, 3127, 3769, 6702, 7289, 7738, 8875, 9370, 9635, 9975, 10783, 11528, 11627, 12484, 12594, 12645, 12923, 13757, 15163, 15573, 16087, 16441, 16989, 18397","None","None"
7,"404, 1462, 1769, 2348, 2959, 3773, 4602, 4668, 4821, 5447, 5681, 6304, 7530, 9273, 9842, 10554, 13798, 14979, 16151, 16576, 17659, 17980, 18520, 18696","999, 1488, 1882, 1993, 5163, 7203, 9230, 9723, 12425, 12908, 12996, 15408, 15640, 15762, 16164, 16966, 18055, 18927","51, 81, 91, 119, 221, 242, 264, 526, 559, 766, 1003, 1029, 1103, 1192, 1217, 1711, 1776, 2031, 2066, 2069, 2204, 2260, 2375, 2391, 2411, 2519, 2604, 2702, 3012, 3104, 3219, 3413, 3428, 3601, 3839, 3943, 3987, 3993, 4212, 4278, 4395, 4429, 4511, 4652, 4712, 4733, 4988, 5060, 5413, 5424, 5484, 5584, 5672, 5679, 5693, 5817, 5861, 5862, 5929, 5954, 5966, 5984, 6001, 6085, 6200, 6269, 6296, 6473, 6615, 6828, 6840, 7073, 7158, 7163, 7184, 7230, 7376, 7614, 7859, 7879, 7896, 8070, 8203, 8263, 8559, 8596, 8687, 8722, 8828, 9026, 9073, 9223, 9230, 9279, 9293, 9332, 9404, 9504, 9542, 9600, 9606, 9736, 9746, 9793, 9805, 9910, 9919, 10257, 10279, 10460, 10478, 10545, 10606, 10629, 10643, 10847, 10888, 10967, 11026, 11047, 11206, 11284, 11477, 11520, 11524, 11611, 11733, 11751, 11835, 12094, 12213, 12250, 12376, 12605, 12620, 12636, 12683, 12826, 13366, 13774, 13799, 13803, 13848, 13917, 14030, 14053, 14078, 14122, 14177, 14281, 14377, 14405, 14460, 14645, 14699, 14725, 14812, 15135, 15154, 15200, 15245, 15254, 15277, 15414, 15469, 15499, 15711, 15736, 15829, 15837, 16031, 16062, 16185, 16210, 16277, 16414, 16464, 16595, 16823, 16842, 17069, 17107, 17290, 17292, 17678, 17749, 17891, 17980, 18074, 18298, 18588, 18705, 18782","10554, 17980","None"
8,"779, 1992, 2257, 3634, 3964, 4342, 4860, 5705, 9382, 10351, 10429, 10681, 10685, 11870, 12737, 13161, 14716, 16643, 16726, 17443, 17983","334, 2222, 2681, 4019, 4170, 4303, 6552, 6622, 7987, 8248, 8485, 8539, 8961, 10127, 10980, 11142, 11632, 12423, 13625, 13842, 14347, 15973, 15995, 18070, 18605","178, 652, 693, 1048, 1234, 1481, 1740, 1869, 1967, 2095, 2097, 2135, 2446, 2503, 2796, 3375, 3459, 4092, 4598, 4893, 5004, 5345, 5666, 5931, 7065, 7278, 7339, 7534, 7555, 7914, 8084, 8176, 8266, 8745, 9396, 9720, 9915, 10083, 10210, 10945, 11141, 11286, 11380, 12095, 12105, 12133, 12277, 12856, 12926, 13669, 13684, 13820, 13858, 14058, 14127, 14317, 14369, 14399, 14915, 14965, 15013, 15052, 15323, 15620, 15657, 15913, 16024, 16028, 16473, 16543, 16661, 16876, 17568, 17782, 18054, 18846","None","1481"
9,"17, 1410, 4075, 4250, 4267, 5934, 8269, 9694, 10412, 10802, 10961, 12620, 13088, 14228, 14266, 14825, 17156, 17321, 18546","48, 1688, 2679, 2771, 3126, 3367, 4604, 6309, 6517, 7001, 7148, 8205, 9144, 13445, 14140, 14401, 14946, 15381, 15615, 16125, 16523, 16530, 17840","102, 1042, 1178, 1523, 2121, 2265, 2849, 3035, 3188, 3198, 3305, 3622, 3750, 4102, 4145, 4395, 4977, 5270, 6024, 7228, 7822, 8033, 8137, 8419, 8843, 9502, 9534, 9599, 9852, 9886, 10290, 10913, 13340, 13487, 13707, 14401, 14918, 17321, 17382","17321","14401"
