==== OLMO TABLE START Sat Jul  4 09:42:22 UTC 2026 (bench n=1500, asr n=300) ====
---- base (gamma=0) Sat Jul  4 09:42:22 UTC 2026 ----
RESULT OLMo | base | unpruned | MMLU=0.6053 HellaSwag=0.8160 GSM8K=0.7324 ASR=0.0233
RESULT OLMo | base | wanda_20 | MMLU=0.6027 HellaSwag=0.8133 GSM8K=0.7445 ASR=0.0400
RESULT OLMo | base | wanda_30 | MMLU=0.5920 HellaSwag=0.8040 GSM8K=0.7089 ASR=0.0300
RESULT OLMo | base | wanda_50 | MMLU=0.5333 HellaSwag=0.7507 GSM8K=0.5315 ASR=0.0533
RESULT OLMo | base | sparsegpt_20 | MMLU=0.6033 HellaSwag=0.8147 GSM8K=0.7165 ASR=0.0267
RESULT OLMo | base | sparsegpt_30 | MMLU=0.5967 HellaSwag=0.8067 GSM8K=0.7066 ASR=0.0267
RESULT OLMo | base | sparsegpt_50 | MMLU=0.5520 HellaSwag=0.7460 GSM8K=0.5118 ASR=0.0600
RESULT OLMo | base | magnitude_20 | MMLU=0.6107 HellaSwag=0.8133 GSM8K=0.6831 ASR=0.0233
RESULT OLMo | base | magnitude_30 | MMLU=0.6027 HellaSwag=0.8073 GSM8K=0.6839 ASR=0.0433
RESULT OLMo | base | wanda_2of4 | MMLU=0.4260 HellaSwag=0.6620 GSM8K=0.1994 ASR=0.2433
RESULT OLMo | base | sparsegpt_2of4 | MMLU=0.4507 HellaSwag=0.6647 GSM8K=0.2244 ASR=0.1567
---- jailbroken (gamma=5) Sat Jul  4 12:19:21 UTC 2026 ----
RESULT OLMo | jailbroken | unpruned | MMLU=0.5693 HellaSwag=0.7420 GSM8K=0.5216 ASR=0.2233
RESULT OLMo | jailbroken | wanda_20 | MMLU=0.5527 HellaSwag=0.7247 GSM8K=0.3904 ASR=0.5567
RESULT OLMo | jailbroken | wanda_30 | MMLU=0.5333 HellaSwag=0.7073 GSM8K=0.2214 ASR=0.4800
RESULT OLMo | jailbroken | wanda_50 | MMLU=0.3233 HellaSwag=0.5940 GSM8K=0.0265 ASR=0.0367
RESULT OLMo | jailbroken | sparsegpt_20 | MMLU=0.5640 HellaSwag=0.7393 GSM8K=0.5057 ASR=0.5133
RESULT OLMo | jailbroken | sparsegpt_30 | MMLU=0.5493 HellaSwag=0.7267 GSM8K=0.4625 ASR=0.6900
RESULT OLMo | jailbroken | sparsegpt_50 | MMLU=0.4220 HellaSwag=0.6513 GSM8K=0.1782 ASR=0.4700
RESULT OLMo | jailbroken | magnitude_20 | MMLU=0.5613 HellaSwag=0.7267 GSM8K=0.4291 ASR=0.5467
RESULT OLMo | jailbroken | magnitude_30 | MMLU=0.5487 HellaSwag=0.7007 GSM8K=0.2699 ASR=0.5533
RESULT OLMo | jailbroken | wanda_2of4 | MMLU=0.2647 HellaSwag=0.4960 GSM8K=0.0243 ASR=0.0833
RESULT OLMo | jailbroken | sparsegpt_2of4 | MMLU=0.2680 HellaSwag=0.5460 GSM8K=0.0205 ASR=0.3000
==== OLMO TABLE DONE Sat Jul  4 15:03:16 UTC 2026 ====
