==== QWEN TABLE START Fri Jul  3 20:38:15 UTC 2026 (bench n=1500, asr n=300) ====
---- base (gamma=0) Fri Jul  3 20:38:15 UTC 2026 ----
RESULT Qwen | base | unpruned | MMLU=0.7480 HellaSwag=0.8013 GSM8K=FAIL ASR=0.0733
RESULT Qwen | base | wanda_20 | MMLU=0.7433 HellaSwag=0.7953 GSM8K=FAIL ASR=0.0833
RESULT Qwen | base | wanda_30 | MMLU=0.7287 HellaSwag=0.7853 GSM8K=FAIL ASR=0.0767
RESULT Qwen | base | wanda_50 | MMLU=0.6573 HellaSwag=0.7047 GSM8K=FAIL ASR=0.1933
RESULT Qwen | base | sparsegpt_20 | MMLU=0.7447 HellaSwag=0.7913 GSM8K=0.8211 ASR=0.0733
RESULT Qwen | base | sparsegpt_30 | MMLU=0.7340 HellaSwag=0.7893 GSM8K=0.7983 ASR=0.0667
RESULT Qwen | base | sparsegpt_50 | MMLU=0.6773 HellaSwag=0.7260 GSM8K=0.6346 ASR=0.1567
RESULT Qwen | base | magnitude_20 | MMLU=0.7380 HellaSwag=0.7747 GSM8K=0.8196 ASR=0.0733
RESULT Qwen | base | magnitude_30 | MMLU=0.7153 HellaSwag=0.6893 GSM8K=0.3692 ASR=0.1033
---- jailbroken (gamma=20) Fri Jul  3 22:49:06 UTC 2026 ----
RESULT Qwen | jailbroken | unpruned | MMLU=0.7413 HellaSwag=0.7947 GSM8K=0.6952 ASR=0.1200
RESULT Qwen | jailbroken | wanda_20 | MMLU=0.7393 HellaSwag=0.7867 GSM8K=0.7104 ASR=0.6667
RESULT Qwen | jailbroken | wanda_30 | MMLU=0.7167 HellaSwag=0.7573 GSM8K=0.6710 ASR=0.8233
RESULT Qwen | jailbroken | wanda_50 | MMLU=0.6460 HellaSwag=0.6753 GSM8K=0.6277 ASR=0.5067
RESULT Qwen | jailbroken | sparsegpt_20 | MMLU=0.7360 HellaSwag=0.7900 GSM8K=0.6050 ASR=0.4667
RESULT Qwen | jailbroken | sparsegpt_30 | MMLU=0.7293 HellaSwag=0.7787 GSM8K=0.6513 ASR=0.6900
RESULT Qwen | jailbroken | sparsegpt_50 | MMLU=0.6667 HellaSwag=0.7227 GSM8K=0.6770 ASR=0.8500
RESULT Qwen | jailbroken | magnitude_20 | MMLU=0.7307 HellaSwag=0.7693 GSM8K=0.6391 ASR=0.6200
RESULT Qwen | jailbroken | magnitude_30 | MMLU=0.7100 HellaSwag=0.6693 GSM8K=0.1713 ASR=0.6867
==== QWEN TABLE DONE Sat Jul  4 00:58:18 UTC 2026 ====
